Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3cac4b6c6054d146822aa87b04e89f632796117c53f37c98cce0c81339b259b2,2019-11,City of London Police,City of London Police,,,No location,,,Suspect charged
83f63e2219d6372d48e06672ff5d48f38676f615a51c813c02a4090fffccc3d7,2019-11,City of London Police,City of London Police,,,No location,,,Local resolution
a99ec5ca7ae380e7fcf30d806c4fd49487cd41e691db2e3dd7a8c4893de10196,2019-11,City of London Police,City of London Police,,,No location,,,Local resolution
57f0f1587223a41fc4559d856534c33f777b7e502106da3f6d79ffe074a9d55c,2019-11,City of London Police,City of London Police,,,No location,,,Suspect charged
16c5eb2e85054f1a40e5692a53011601d0dd460744e0eca504bd343f67d4698c,2019-11,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
2ff84fed304a1360188872044987d91ede581c7f37c4529f0552f217992f1426,2019-11,City of London Police,City of London Police,,,No location,,,Offender given penalty notice
029c22a3b271c83e574f434bb728e693371ef204937185a36b0d7df8a08b7e12,2019-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
9d4fb6aa071e3c6d0bcb634d07c5b5d7c4784bc2b43d726203021067f075ca0b,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0b07c06167eab52834266681b08404160e21fe595985007d1c17af82f614d183,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
33c44fdc181dbf5623a1d277c8bc40c5a51a6d58811563811707fc6aa38f1eb8,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
447e0f466fe25400625efb92cafe2c56b4303e5e3a5a54f475a9cffac0043e53,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7b8f3dbfb02c25b566a6f23cc7cd91fcff1345059de4ea23e8b8e1b3abd5b96b,2019-11,City of London Police,City of London Police,-0.095037,51.510621,On or near QUEENHITHE,E01032739,City of London 001F,Investigation complete; no suspect identified
118f3779fd2a233234f96c7c6999ecd45112cb05000584bfa101a37392c0a52b,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
90196148b4670a51699d74ef6a441110d9b3a515faa280cf736370f7cca5cd1c,2019-11,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
3dbd32a189416b982eb6f2713d3a56e912f1ab7c785ef57f58e1691ac317282a,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
528b3ec14c12869cc6a293437d3eecd36142d6fe84b29452e2523d8d9d171734,2019-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
f87018f88e3a6d558bf7778f70b17e486cb66159e370dc68b462a7cd70b98e91,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3527de7b825510cc724aff5019860a67ecf3b7478ecfcfbfa218d40c57805ef5,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1636d4211befa85e2423a7f0e1048ecbfb6293146c190434e6f2f4d2beff78c9,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e6c1db7a973239643b8f260332fd7e97749102d5dde4fd4544aefca635403709,2019-11,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
86ac0badda9b680105f153b35036f19152a5c332a73f56258b14c70acf502657,2019-11,City of London Police,City of London Police,-0.104001,51.513051,On or near APOTHECARY STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
09ba19646e88b3c6498d2d1205e88b1cd774c286bc97f21610bf57438da981da,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ea351e119cb0f9ded35eda1d2af1c17a16475c6ba69382e427401934441a0e21,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bfc04b12a44858d84acb0c39b8c041c433d766e1372bf0b3ea4d54c753cf7e5c,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
26c44eb1bae32cfdefb9d1d5842766286d48e53ec1708193ca10e6892c1dca33,2019-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ab7a621ae09e3f6e2e8e96b70c358a5cdabe1932c8fd58cd9a44e74813aacf24,2019-11,City of London Police,City of London Police,,,No location,,,Formal action is not in the public interest
4c78568abd549b0f4ab3bf3d8cbf30deaf253dc1b355b253fd260eb48e5465e2,2019-11,City of London Police,City of London Police,,,No location,,,Formal action is not in the public interest
8113795c589e8d1a55a608312a7ec9af405bde4b286cbcc41e4deb036f8e9ca0,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
7869f09b05eb886dece0c0d1c907ac3f78d57d63f966ef358021cb6838d22345,2019-11,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Offender given a caution
c006f20a24fc75d909f9a9df137cf1a3a7f0021f950441976fa2755c633e35f7,2019-11,City of London Police,City of London Police,-0.096385,51.510787,On or near GARDNERS LANE,E01032739,City of London 001F,Suspect charged
a06a95a17f83bf59575277ffdc7db1d4c67ac0d749d4d2fb05e4283a44367ad8,2019-11,City of London Police,City of London Police,-0.086272,51.513114,On or near BIRCHIN LANE,E01032739,City of London 001F,Suspect charged
ac60c9c9c7d5f4c93196bed0761d49edd635624c9abafa9b7bde8ccfff6b63c1,2019-11,City of London Police,City of London Police,-0.097699,51.511420,On or near BOOTH LANE,E01032739,City of London 001F,Offender given a caution
04815f39628c32cd78796ebf63360f3c9ad6d5b73e1e07f43e0b8be7c3e83bd1,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a caution
fa6f1b7054d34a72849e20a15a9c0063f525a9bf6a575dab27c7fafe919a364c,2019-11,City of London Police,City of London Police,-0.105157,51.513330,On or near Theatre/Concert Hall,E01032740,City of London 001G,Suspect charged
0e772cb162ae6cf47989684e1ba8095d3787c685f0ae9baf0879fc74270e35b5,2019-11,City of London Police,City of London Police,-0.111242,51.516738,On or near TOOK'S COURT,E01032740,City of London 001G,Suspect charged
b704c4b1ef35eb30e1a6faa1abd544733177c03fcdbfed75f1ff444601bfd5d3,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
ad374e28d51e9fa65cae07f8d9da3c045571b324c26e95853c8dd35c545ef5f2,2019-11,City of London Police,City of London Police,-0.101452,51.512650,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Local resolution
e68d63c73cf199cf64cfeee6b64e529d56103ad0fd9a4630e706f5779947cc28,2019-11,City of London Police,City of London Police,-0.078665,51.509950,On or near MUSCOVY STREET,E01032739,City of London 001F,Suspect charged
e68d63c73cf199cf64cfeee6b64e529d56103ad0fd9a4630e706f5779947cc28,2019-11,City of London Police,City of London Police,-0.078665,51.509950,On or near MUSCOVY STREET,E01032739,City of London 001F,Suspect charged
97640d9f856df0af9cc06a38dacdd48d598060f1b0cb7e03a5bbc5a5883a03cc,2019-11,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Local resolution
70e074f5db72bbc1e9bad03a36a6a7efa11d196d917a0e431ea2f121c89add09,2019-11,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Suspect charged
2e5e2046332e2e14ebfbe3703bd53adbc6de3c650291cd600dcf4556c6e9c384,2019-11,City of London Police,City of London Police,-0.073254,51.512856,On or near MANSELL STREET,E01000005,City of London 001E,Suspect charged
dea1214d4470f3bb9b94b59c6ababddb4ae3b3ad1272c6994654761408af500e,2019-11,City of London Police,City of London Police,-0.077637,51.511453,On or near CRUTCHED FRIARS,E01032739,City of London 001F,Offender given a caution
1cb585118619bdf5cbacb05f8effdadb56584e890ae4882ef6f7fe5281e7bb36,2019-11,City of London Police,City of London Police,-0.104909,51.517912,On or near Parking Area,E01032740,City of London 001G,Suspect charged
18e433ff1b8055e26f05c4bf9e2c897a4f0217188a281e30e03cf926ea4b6091,2019-11,City of London Police,City of London Police,-0.097277,51.515307,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Suspect charged
b217d4023f327ee742fe1012a9a15760a00464e5757eb70bf53ea2386cbd8b23,2019-11,City of London Police,City of London Police,-0.103597,51.519312,On or near Nightclub,E01002724,Islington 022D,Suspect charged
c022da8218824bc645f82577bd1f91021131cbdcf9b8f162efa4338c5853f23b,2019-11,City of London Police,City of London Police,-0.103597,51.519312,On or near Nightclub,E01002724,Islington 022D,Suspect charged
ea688eb4371e9356ba6f96c7aa185781b4c4a15c15af77163c3f221969c8bf1f,2019-11,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Suspect charged
eeeedc86489b543593e951c42476117c16640c76d724417ce1e8bc97eb26a96f,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
27dd60100971e7c6fa9260b451737004edbfe96f4ef84247c582e40dd5f8ac87,2019-11,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
8f14eff7cda77603ddc784261eefbb3e19780fe5b24366cb58f9e7020060908d,2019-11,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Suspect charged
9711bf01c05c6297ce55dc3501e5fc73713bda95db87adfa9a3ec8f0a7839307,2019-11,City of London Police,City of London Police,-0.104001,51.513051,On or near APOTHECARY STREET,E01032739,City of London 001F,Suspect charged
1e07ea73c0c46fba969ece8f18f94a1c7657f85b1b6b3a69450f61e06d7f3b1c,2019-11,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Suspect charged
705356d04282944f6c0dcc1904d95b5312705228a07add18e988f64fc829079e,2019-11,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
95aebe5555f9d1df70952672598f748dcf77b84f1e36b1390cdb7456a9123cfe,2019-11,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Local resolution
e912df31be25893372e2aff7892ab38c954f65275d96681039e5aafdd64ba504,2019-11,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Suspect charged
c6a824d5c9fa0524ceb171f9f6799931330ac7266cf78b707f43900c6dd9cc80,2019-11,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Suspect charged
b0e9c2727c40644dd9bf5ec48a5cfc6abd675f0ad56accdd061f169660e2cfac,2019-11,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Suspect charged
5ede16141743876d083058cf42f862876669779acb3c9435b91ce0fe3ae74e12,2019-11,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Suspect charged
4b04ffb988060ed9e172a64cff1ab483574cc63eb2cb06f4249afe4b0e981505,2019-11,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Suspect charged
4b04ffb988060ed9e172a64cff1ab483574cc63eb2cb06f4249afe4b0e981505,2019-11,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Suspect charged
5b5dd97bd5a88cad0d4dda90984bbe0338eb6491af57526b6b4d04def9122418,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a caution
8bdf16ed1cf1115a3c75ace30effb85332475525ea48b4c3e7da58947e4f14d0,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a caution
f3b3fee282d3a16416237babee6caef0e3dba4dde323ed05dcd82bb96e41e609,2019-11,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
c24bdc9454cc50b189e27b4354378278713a3fac2dcea70ba72e616852bdb811,2019-11,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
b7e9f1f55e9352afcefba06843a0b094c2a5a60d952cc21ec513e1095343654d,2019-11,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Suspect charged
40defb2542dc9789532577fb7feada2bdd5e987f494da6715b710e086ddc0564,2019-11,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
e0766b5aa62b6b7e6ff5a6b91e73e55974c0a6bbd646e255687519f4b0fc191f,2019-11,City of London Police,City of London Police,-0.078994,51.514137,On or near HENEAGE PLACE,E01032739,City of London 001F,Suspect charged
